UID,Index,Name,状态,异常详情
2792147128,2,爆枪小战士 lv.54,warn,- 普通任务次数 单价:15， 次数:1， 小计:15
2792147128,3,星 lv.99XinLing,warn,- 神武碎片/神护碎片 单价:1， 次数:18， 小计:18
2792147128,4,爆枪小战士 lv.99,warn,- 技能格子10 单价:10， 次数:1， 小计:10
